ID,Answer
1,3
2,4
3,4
4,4
5,4
6,1
7,4
8,4
9,4
10,1
11,3
12,1
13,3
14,2
15,2
16,4
17,4
18,3
19,1
20,3
21,1
22,1
23,3
24,4
25,3
26,1
27,4
28,1
29,2
30,1
31,2
32,1
33,2
34,4
35,2
36,3
37,4
38,1
39,2
40,4
41,2
42,4
43,3
44,1
45,4
46,2
47,4
48,3
49,3
50,1
51,1
52,1
53,4
54,2
55,3
56,4
57,1
58,2
59,1
60,2
61,4
62,1
63,3
64,2
65,1
66,4
67,3
68,1
69,3
70,4
71,1
72,3
73,1
74,2
75,3
76,1
77,2
78,3
79,4
80,2
81,3
82,4
83,3
84,4
85,3
86,2
87,1
88,3
89,4
90,1
91,2
92,4
93,1
94,4
95,2
96,4
97,4
98,1
99,3
100,4
101,3
102,3
103,3
104,4
105,3
106,4
107,4
108,4
109,3
110,2
111,1
112,1
113,2
114,4
115,1
116,2
117,2
118,3
119,1
120,1
121,1
122,1
123,4
124,3
125,4
126,4
127,2
128,4
129,1
130,2
131,2
132,2
133,4
134,1
135,1
136,1
137,1
138,3
139,4
140,1
141,1
142,3
143,4
144,3
145,2
146,2
147,4
148,4
149,1
150,2
151,1
152,3
153,2
154,1
155,2
156,4
157,1
158,1
159,4
160,4
161,2
162,2
163,4
164,4
165,4
166,1
167,4
168,1
169,2
170,4
171,3
172,1
173,3
174,4
175,2
176,2
177,2
178,2
179,1
180,1
181,4
182,3
183,1
184,3
185,3
186,1
187,2
188,1
189,1
190,3
191,1
192,4
193,4
194,3
195,4
196,4
197,2
198,4
199,3
200,1
201,3
202,3
203,4
204,1
205,2
206,3
207,1
208,1
209,4
210,3
211,1
212,2
213,2
214,4
215,1
216,1
217,1
218,4
219,4
220,4
221,2
222,3
223,3
224,4
225,3
226,3
227,1
228,3
229,4
230,2
231,3
232,1
233,4
234,1
235,1
236,1
237,1
238,3
239,2
240,2
241,4
242,2
243,3
244,3
245,4
246,4
247,2
248,3
249,4
250,1
251,1
252,3
253,4
254,1
255,3
256,2
257,4
258,4
259,1
260,3
261,1
262,3
263,1
264,4
265,3
266,4
267,1
268,1
269,4
270,4
271,2
272,3
273,4
274,1
275,1
276,1
277,4
278,3
279,1
280,3
281,4
282,4
283,2
284,3
285,4
286,2
287,4
288,1
289,4
290,3
291,1
292,4
293,3
294,4
295,4
296,1
297,3
298,4
299,4
300,1
