ID,Answer
1,3
2,1
3,4
4,4
5,4
6,4
7,4
8,3
9,4
10,1
11,3
12,1
13,3
14,2
15,2
16,4
17,2
18,3
19,1
20,3
21,1
22,3
23,3
24,4
25,4
26,1
27,4
28,1
29,2
30,1
31,2
32,1
33,2
34,4
35,2
36,3
37,4
38,1
39,2
40,4
41,2
42,4
43,3
44,1
45,4
46,2
47,4
48,3
49,3
50,1
51,1
52,1
53,4
54,4
55,3
56,4
57,1
58,2
59,1
60,2
61,1
62,1
63,4
64,2
65,1
66,4
67,3
68,1
69,3
70,4
71,1
72,3
73,1
74,2
75,3
76,1
77,4
78,3
79,4
80,2
81,3
82,3
83,2
84,4
85,4
86,4
87,1
88,3
89,3
90,1
91,2
92,3
93,1
94,3
95,2
96,3
97,4
98,2
99,3
100,3
101,3
102,3
103,3
104,4
105,3
106,4
107,4
108,4
109,3
110,2
111,1
112,1
113,2
114,4
115,1
116,2
117,2
118,3
119,4
120,3
121,1
122,1
123,4
124,3
125,4
126,4
127,2
128,4
129,3
130,2
131,2
132,2
133,2
134,1
135,1
136,1
137,1
138,3
139,4
140,1
141,1
142,3
143,4
144,4
145,3
146,2
147,4
148,4
149,1
150,1
151,4
152,3
153,2
154,1
155,2
156,4
157,1
158,1
159,4
160,4
161,2
162,2
163,4
164,4
165,4
166,3
167,4
168,1
169,1
170,4
171,3
172,1
173,2
174,4
175,1
176,2
177,2
178,1
179,1
180,1
181,1
182,3
183,1
184,4
185,3
186,1
187,2
188,2
189,3
190,3
191,1
192,2
193,4
194,3
195,4
196,4
197,2
198,4
199,3
200,1
201,3
202,3
203,4
204,1
205,2
206,3
207,1
208,4
209,4
210,3
211,1
212,2
213,3
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,1
222,2
223,3
224,4
225,3
226,3
227,1
228,4
229,4
230,2
231,3
232,1
233,1
234,1
235,1
236,1
237,4
238,4
239,2
240,2
241,4
242,2
243,3
244,3
245,4
246,4
247,2
248,3
249,4
250,1
251,1
252,3
253,4
254,3
255,3
256,2
257,4
258,4
259,3
260,3
261,1
262,1
263,1
264,4
265,3
266,4
267,4
268,1
269,4
270,2
271,4
272,3
273,3
274,1
275,1
276,1
277,4
278,3
279,3
280,3
281,4
282,4
283,2
284,4
285,4
286,2
287,4
288,1
289,4
290,3
291,1
292,3
293,3
294,4
295,4
296,1
297,3
298,4
299,4
300,2
301,3
302,3
303,1
304,3
305,1
306,3
307,3
308,2
309,3
310,3
311,1
312,2
313,2
314,4
315,1
316,3
317,4
318,1
319,2
320,2
321,4
322,2
323,1
324,3
325,4
326,1
327,4
328,4
329,2
330,4
331,3
332,4
333,4
334,2
335,2
336,2
337,4
338,1
339,3
340,4
341,1
342,1
343,3
344,2
345,3
346,1
347,3
348,1
349,4
350,1
351,4
352,1
353,1
354,4
355,2
356,4
357,1
358,2
359,3
360,1
361,4
362,3
363,1
364,4
365,4
366,4
367,3
368,4
369,3
370,4
371,1
372,2
373,1
374,3
375,4
376,2
377,1
378,2
379,4
380,2
381,1
382,2
383,2
384,4
385,1
386,4
387,4
388,3
389,2
390,3
391,1
392,1
393,3
394,3
395,1
396,2
397,1
398,1
399,1
400,3
401,2
402,2
403,4
404,1
405,4
406,1
407,1
408,4
409,1
410,3
411,4
412,2
413,2
414,2
415,1
416,1
417,3
418,3
419,1
420,4
421,2
422,1
423,3
424,1
425,4
426,1
427,4
428,1
429,4
430,3
431,2
432,1
433,1
434,1
435,1
436,1
437,1
438,3
439,1
440,1
441,3
442,4
443,3
444,2
445,2
446,1
447,4
448,4
449,1
450,2
451,1
452,4
453,4
454,1
455,3
456,2
457,2
458,1
459,1
460,1
461,3
462,1
