ID,Answer
1,1
2,1
3,2
4,1
5,3
6,3
7,2
8,4
9,2
10,3
11,2
12,3
13,3
14,1
15,4
16,2
17,2
18,2
19,4
20,4
21,1
22,4
23,3
24,4
25,2
26,3
27,2
28,4
29,3
30,4
31,1
32,1
33,1
34,2
35,2
36,3
37,1
38,4
39,2
40,2
41,2
42,3
43,1
44,2
45,3
46,1
47,3
48,1
49,1
50,1
51,1
52,4
53,3
54,1
55,2
56,3
57,4
58,3
59,1
60,1
61,3
62,1
63,1
64,3
65,1
66,3
67,3
68,4
69,3
70,4
71,2
72,2
73,4
74,2
75,2
76,1
77,3
78,1
79,3
80,3
81,2
82,3
83,1
84,3
85,1
86,2
87,2
88,1
89,3
90,4
91,3
92,3
93,2
94,4
95,3
96,1
97,4
98,3
99,3
100,3
101,1
102,2
103,3
104,3
105,2
106,1
107,3
108,2
109,2
110,1
111,2
112,3
113,4
114,1
115,3
116,2
117,3
118,3
119,3
120,4
121,1
122,3
123,3
124,1
125,3
126,1
127,4
128,1
129,1
130,2
131,1
132,3
133,4
134,4
135,1
136,4
137,2
138,2
139,3
140,1
141,1
142,1
143,1
144,3
145,1
146,4
147,3
148,1
149,2
150,1
151,1
152,3
153,3
154,4
155,1
156,3
157,2
158,2
159,2
160,3
161,2
162,3
163,1
164,3
165,2
166,2
167,4
168,3
169,4
170,1
171,3
172,2
173,4
174,4
175,2
176,3
177,4
178,4
179,2
180,1
181,4
182,2
183,3
184,4
185,2
186,2
187,4
188,1
189,2
190,4
191,3
192,3
193,3
194,1
195,4
196,2
197,3
198,4
199,4
200,4
201,3
202,3
203,3
204,1
205,1
206,2
207,4
208,3
209,4
210,2
211,4
212,3
213,4
214,1
215,4
216,3
217,2
218,1
219,3
220,3
221,1
222,1
223,4
224,4
225,1
226,1
227,4
228,2
229,2
230,1
231,1
232,4
233,1
234,3
235,3
236,1
237,3
238,2
239,1
240,1
241,3
242,1
243,1
244,4
245,2
246,4
247,3
248,2
249,2
250,4
251,1
252,4
253,1
254,1
255,3
256,3
257,1
258,4
259,4
260,1
261,4
262,2
263,3
264,2
265,3
266,4
267,2
268,4
269,3
270,2
271,3
272,1
273,3
274,1
275,1
276,1
277,4
278,3
279,2
280,2
281,3
282,1
283,3
284,1
285,1
286,1
287,3
288,2
289,1
290,1
291,1
292,1
293,4
294,3
295,2
296,3
297,2
298,1
299,4
300,3
301,1
302,3
303,2
304,4
305,1
306,2
307,1
308,1
309,1
310,4
311,4
312,4
313,2
314,3
315,2
316,3
317,1
318,4
319,1
320,4
321,3
322,3
323,4
324,3
325,4
326,3
327,1
328,4
329,3
330,2
331,2
332,1
333,1
334,4
335,1
336,1
337,2
338,2
339,2
340,2
341,4
342,2
343,3
344,1
345,4
346,1
347,3
348,2
349,1
350,1
351,2
352,4
353,3
354,4
355,4
356,3
357,1
358,1
359,3
360,3
361,1
362,1
363,3
364,1
365,3
366,4
367,3
368,2
369,1
370,3
371,4
372,4
373,1
374,3
375,3
376,1
377,3
378,3
379,2
380,4
381,1
382,3
383,1
384,4
385,3
386,1
387,4
388,4
389,2
390,2
391,1
392,3
393,1
394,1
395,3
396,4
397,4
398,3
399,4
400,1
401,4
402,4
403,2
404,3
405,2
406,4
407,1
408,2
409,3
410,1
411,4
412,3
413,4
414,1
415,3
416,3
417,1
418,4
419,2
420,4
421,1
422,1
423,3
424,1
425,2
426,2
427,3
428,3
429,1
430,3
431,3
432,1
433,1
434,2
435,4
436,1
437,4
438,2
439,3
440,1
441,3
442,2
443,2
444,4
445,2
446,2
447,1
448,3
449,1
450,1
451,1
452,1
453,4
454,1
455,1
456,4
457,4
458,1
459,3
460,1
461,1
462,2
463,2
464,2
465,3
466,4
467,4
468,4
469,3
470,4
471,3
472,1
473,1
474,3
475,4
476,2
477,2
478,1
479,3
480,4
481,1
482,3
483,2
484,3
485,1
486,3
487,2
488,1
489,1
490,4
491,1
492,3
493,4
494,1
495,4
496,3
497,4
498,1
499,2
500,2
501,2
502,2
503,2
504,1
505,1
506,2
507,1
508,1
509,3
510,2
511,2
512,1
513,4
514,1
515,3
516,3
517,3
518,1
519,1
520,3
521,2
522,1
523,1
524,1
525,2
526,3
527,3
528,3
529,1
530,4
531,4
532,1
533,3
534,3
535,1
536,2
537,4
538,2
539,3
540,4
541,3
542,4
543,3
544,4
545,1
546,1
547,1
548,4
549,2
550,1
551,2
552,1
553,4
554,2
555,1
556,4
557,4
558,1
559,4
560,4
561,1
562,1
563,1
564,3
565,1
566,3
567,2
568,2
569,3
570,2
571,4
572,3
573,2
574,1
575,3
576,2
577,2
578,1
579,1
580,3
581,3
582,4
583,2
584,1
585,1
586,1
587,1
588,3
589,1
590,2
591,4
592,2
593,3
594,4
595,3
596,4
597,1
598,1
599,2
600,1
601,2
