ID,Answer
1,3
2,1
3,1
4,3
5,4
6,1
7,3
8,1
9,1
10,1
11,4
12,1
13,1
14,3
15,1
16,3
17,2
18,2
19,3
20,1
21,4
22,3
23,2
24,2
25,2
26,3
27,3
28,2
29,3
30,4
31,2
32,3
33,3
34,4
35,4
36,4
37,1
38,4
39,1
40,4
41,1
42,1
43,3
44,1
45,4
46,1
47,1
48,4
49,3
50,2
51,3
52,4
53,4
54,2
55,3
56,4
57,4
58,2
59,4
60,1
61,3
62,2
63,1
64,3
65,1
66,1
67,2
68,3
69,1
70,2
71,3
72,2
73,1
74,2
75,3
76,3
77,3
78,1
79,2
80,4
81,3
82,2
83,3
84,4
85,3
86,2
87,2
88,2
89,4
90,3
91,3
92,1
93,1
94,4
95,2
96,1
97,1
98,1
99,3
100,3
101,2
102,4
103,4
104,3
105,4
106,1
107,1
108,3
109,3
110,4
111,3
112,1
113,1
114,4
115,1
116,1
117,3
118,1
119,1
120,3
121,1
122,3
123,4
124,4
125,1
126,4
127,3
128,3
129,1
130,1
131,3
132,1
133,1
134,3
135,1
136,2
137,4
138,4
139,4
140,1
141,1
142,1
143,4
144,3
145,4
146,4
147,3
148,3
149,1
150,1
151,3
152,2
153,4
154,4
155,1
156,1
157,3
158,3
159,4
160,1
161,1
162,2
163,4
164,1
165,3
166,4
167,2
168,3
169,4
170,4
171,3
172,1
173,1
174,3
175,1
176,2
177,2
178,3
179,1
180,4
181,4
182,4
183,4
184,3
185,3
186,1
187,3
188,3
189,2
190,3
191,2
192,3
193,4
194,1
195,1
196,4
197,1
198,3
199,3
200,2
201,2
202,2
203,1
204,2
205,2
206,4
207,3
208,2
209,4
210,3
211,3
212,4
213,3
214,2
215,3
216,2
217,4
218,4
219,2
220,1
221,2
222,4
223,1
224,2
225,4
226,2
227,3
228,1
229,2
230,3
231,3
232,3
233,3
234,2
235,2
236,4
237,2
238,2
239,2
240,2
241,2
242,1
243,3
244,1
245,3
246,1
247,4
248,3
249,1
250,4
251,4
252,3
253,4
254,2
255,3
256,3
257,4
258,1
259,2
260,4
261,3
262,3
263,2
264,4
265,1
266,4
267,1
268,4
269,1
270,4
271,1
272,3
273,3
274,2
275,2
276,2
277,3
278,3
279,3
280,3
281,1
282,3
283,2
284,4
285,1
286,1
287,1
288,1
289,1
290,2
291,4
292,1
293,3
294,4
295,1
296,3
297,4
298,3
299,1
300,4
301,1
302,1
303,2
304,2
305,1
306,3
307,4
308,3
309,2
310,3
311,2
312,2
313,3
314,2
315,4
316,4
317,4
318,4
319,4
320,1
321,3
322,3
323,4
324,4
325,1
326,4
327,2
328,3
329,2
330,2
331,4
332,1
333,2
334,4
335,1
336,1
337,3
338,3
339,2
340,1
341,1
342,4
343,2
344,4
345,4
346,1
347,2
348,4
349,4
350,3
351,1
352,3
353,1
354,2
355,2
356,1
357,2
358,3
359,2
360,3
361,1
362,4
363,4
364,2
365,2
366,1
367,4
368,3
369,1
370,3
371,3
372,3
373,4
374,3
375,1
376,3
377,4
378,4
379,4
380,4
381,4
382,4
383,1
384,2
385,3
386,3
387,1
388,1
389,1
390,2
391,2
392,1
393,3
394,3
395,4
396,4
397,3
398,2
399,3
400,1
401,2
402,4
403,1
404,4
405,4
406,1
407,1
408,1
409,2
410,1
411,1
412,4
413,1
414,1
415,1
416,2
417,2
418,3
419,4
420,1
421,4
422,1
423,1
424,2
425,1
426,1
427,4
428,4
429,3
430,4
431,3
432,4
433,1
434,3
435,2
436,4
437,2
438,1
439,1
440,4
441,3
442,3
443,2
444,2
445,4
446,1
447,1
448,1
449,3
450,4
451,4
452,2
453,1
454,1
455,3
456,3
457,4
458,2
459,3
460,2
461,3
462,4
