passage,question,number,unit,yesno,,spans,query_id,review,review_date,comment
（中央社記者吳柏緯台北11日電）民間發展太空火箭的晉陞太空科技公司，在台東縣達仁鄉南田村興建發射基地，原訂去年年底發射實驗火箭，但因未充分和當地居民溝通，引發爭議，晉陞公司也決定暫緩發射。經過與當地居民，以及政府相關部會協調、研商後，確認13日清晨將試射自製火箭「飛鼠一號」," 請問文章中提到晉陞公司和誰協調研商後，確認13日清晨將試射自製火箭「飛鼠一號」?
",,,,,"當地居民,政府相關部會",1000-1,V,2020/2/27,"原本的答案""當地居民，政府相關部會""格式錯誤，我修改成了對的格式：""當地居民,政府相關部會""，之後注意一下"
"（中央社記者劉世怡台北12日電）前法務部長邱太三遭指為壢新醫院院長張煥禎逃漏稅案，關說前桃園地檢署檢察長彭坤業，監察院昨天未通過彈劾。邱太三今天聲明，他是轉知陳情、絕無關說，監察院已還他清白。
此案去年經媒體披露後，監察委員林雅鋒、王美玉、高涌誠申請自動調查；去年召開第一次彈劾會，昨天召開第二次，皆未通過彈劾邱太三。
邱太三今天發布聲明表示，經過兩次調查報告審查會，肯定多數監察委員對事實的爬梳，非由少數監委自由心證指摘認定。
聲明指出，整件事從頭到尾只有陳述性質，完全沒有介入個案請求，更沒有違背法令。從頭到尾，他都沒有對彭坤業提出任何影響辦案方向的請求，甚至也沒有詢問追蹤後續處理情形，這些事實都可從相關人的證詞中得知。
聲明表示，陳述此事在意的是司法形象與威信是否能獲得人民信賴，以及司法機關在司法訴訟制定是否造成人民疑慮無所適從，機制上是否有精進之處。
聲明提及，三名監委所提調查報告的彈劾案，歷經兩次監院審查會，分別以懸殊票數，通過不彈劾，證明多數監委都認同他從頭到尾都是轉知陳情民怨、絕無關說。
聲明指出，監察院已還他清白，至於少數監委的個人心證推論報告，投票結果已經證明沒有說服力，也不值一駁","文章中提到前法務部長邱太三遭指為壢新醫院院長張煥禎逃漏稅案由那幾位監委申請自動調查?
",,,,,"林雅鋒,王美玉,高涌誠",1001-1,X,2020/2/27,答案的幾個詞在文本中有點太靠近，這種的題目盡量少
,"文章中提到哪些現任及前任公務員?
",,,,,"邱太三,彭坤業,林雅鋒,王美玉,高涌誠",1002-2,V,2020/2/27,
,文章中提到哪些政府機關?,,,,,"法務部,桃園地檢署,監察院",1002-3,V,2020/2/27,
"（中央社記者林育立柏林11日專電）駐德代表謝志偉日前將台灣數位修復的柏林老照片和法藍瓷專書送給柏林國立圖書館典藏，由普魯士文化遺產基金會主席帕辛格（Hermann Parzinger）代表接受。
致贈儀式10日下午在柏林國立圖書館（Staatsbibliothek zu Berlin）舉行，館長施奈德-坎普夫 （Barbara Schneider-Kempf）也到場觀禮。這座17世紀成立的圖書館隸屬普魯士文化遺產基金會，館藏圖書超過1100萬冊，從規模來看是德語國家最大的圖書館。
謝志偉致詞時表示，這張涵蓋皇宮、大教堂和博物館島的全景圖，原本是張充滿黃斑的老照片，新世語文化公司創辦人徐宗懋向德國舊書商買下後，用數位技術複製、掃描處理和復原上色，成功重現一百年前的城市榮光，展現台灣數位影像處理的頂級技術。",文章中提到的老照片涵蓋哪些地方?,,,,,"皇宮,大教堂,博物館島",1003-1,X,2020/2/27,答案的幾個詞在文本中有點太靠近，這種的題目盡量少
"（中央社記者戴雅真倫敦9日專電）國民黨立法委員許毓仁近期訪英，5日舉辦座談會和旅英科技業人士商討他正在推動的人工智慧發展基本法，盼奠定「人工智慧的憲法」，對人工智慧進行倫理規範。

「AI法理情」座談會邀請台灣人工智慧安全控制新創Umbo CV技術長張秉霖 、Hyper Reality Ltd創辦人陳裕仁，以及工業設計師林珈弘等人與談，與許毓仁意見交流。

許毓仁與跨黨派立委合作提案的「人工智慧發展基本法」在上會期通過一讀，分為醫療、智慧製造和無人車，台灣人工智慧應用三大最有潛力的領域，盼這會期完成三讀。

許毓仁在座談會上指出，美國和中國的貿易戰將會持續5至10年，繼課稅之後，美中貿易戰的下一階段就是科技、智慧財產權等。在美中對戰當中，台灣應該做的是把核心關鍵技術留在台灣，並和美國形成戰略聯盟，因此推動通過人工智慧發展基本法有其必要。

此外，他表示，台灣的公部門每個月面對駭客攻擊3000萬次，桃園機場附近的智慧路燈也曾被駭客攻擊，台灣基本上是處於資訊戰爭的狀態，為了國安、工業資安、科技發展與技術開發，應對人工智慧給予最高國家戰略思考。

許毓仁表示，他推動的人工智慧發展基本法有5大準則。第一，確定人工智慧發展的定位，訂立發展綱領在產業界和學術界優先推動研究、發展。第二，促進產業AI化、建立AI技術應用平台，以及形成AI產業生態系。第三，AI發展牽涉大規模公眾數據的使用以及實驗場域落地試驗，與公共利益牽連甚深，須制定適當的開發標準原則。

第四，政府在符合開發標準原則下，應盡量滿足產業、學術界在AI研發與應用的需求。第五，建立與凝聚公眾對AI的認識與信任，樹立人工智慧發展的基本倫理原則。

許毓仁指出，歐盟在今年4月發布7條人工智慧的道德準則，包括AI不應侵犯人類自主性與自由、搜集的數據得受到安全且隱密的管理，以及需建立咎責機制等，英國也有人工智慧的開發準則，台灣應該儘速通過相當於AI憲法的人工智慧發展基本法，解開人工智慧發展的最後一道枷鎖。",文章中提到哪些人?,,,,,"許毓仁,張秉霖,陳裕仁,林珈弘",1004-1,,,
,文中提到「人工智慧發展基本法」在上會期通過一讀包含那三個領域?,,,,,"醫療,智慧製造,無人車",1004-2,,,
"（中央社記者潘姿羽台北23日電）科技部今天發布「人工智慧科研發展指引」，從3個核心價值而延伸出8大準則，這也是全球第一個針對科研團隊所做的AI指引；科技部長陳良基表示，希望藉此讓人工智慧成為善的工具，發揮更多善的力量。

科技部今天與人工智慧技術暨全幅健康照護聯合研究中心、人工智慧製造系統研究中心、人工智慧普適研究中心、人工智慧生技醫療創新研究中心共同發布「人工智慧科研發展指引」。

陳良基表示，今年初開始，科技部邀集各領域學者專家召開數場會議討論後，決定以「以人為本」、「永續發展」及「多元包容」為核心價值，從而衍伸出8大準則：共榮共利、公平性與非歧視性、自主權與控制權、安全性、個人隱私與數據治理、透明性與可追溯性、可解釋性、問責與溝通。

陳良基比喻，人類歷史上有石器時代、鐵器時代，如今隨著科技進步，已經邁入人工智慧（AI）時代；AI作為人類使用的工具之一，如同刀子、火種，利用上有善有惡，這次端出AI科研發展指引，就是為了讓善的力量被加大，惡的部分可以被控制。

8大準則方面，陳良基以「自主權及控制權」為例，他解釋，AI跟軟體有很大不同，程式設計師寫好程式後，軟體就定下來，不會突變，但AI工程師把軟體寫好後，會一直演化，最後AI演化什麼模樣，不是工程師能了解。

也因此，陳良基強調，在科研發展時，必須注意到「自主權及控制權」的準則，要保證AI演化不會變成人類無法操控；當研發初期有注意到，後續就比較不會造成問題。

另個準則「公平性與非歧視性」，陳良基解釋，AI程式寫好之後，演化就是來自於科研人員給他的資料，如果科研人員給的資料含有歧視內容，AI就會歧視，如果給AI的資料是往某個方向偏差，AI就會跟著偏差，因此，科研人員必須意識到，在AI系統、軟體、演算法等技術及進行決策時，應落實以人為本，避免產生偏差與歧視等風險。

陳良基補充，AI現在還在演化過程中，現在法令並不清楚科技會把界線推到哪去，這也是為何全球各國多選擇先訂定指引，而非法律的原因；值得一提的是，先進國家及組織紛紛研擬相關基本準則，但都較廣泛，台灣則領先全球，率先聚焦科研團隊，提出AI科研發展指引。",文中提到科技部發布「人工智慧科研發展指引」的8大準則是什麼?,,,,,"共榮共利,公平性與非歧視性,自主權與控制權,安全性,個人隱私與數據治理,透明性與可追溯性,可解釋性,問責與溝通",1005-1,,,
,文中提到科技部發布「人工智慧科研發展指引」的三個核心價值是什麼?,,,,,"以人為本,永續發展,多元包容",1005-2,,,
"臉書（Facebook）執行長祖克柏今天在慕尼黑安全會議中表示，線上內容理應受到管理，且管理方法應介於新聞業與電信業現行規範之間。

全球領袖與安全首長齊聚德國慕尼黑舉行的安全會議，祖克柏（Mark Zuckerberg）在會中問答時間表示：「我認為管理有害內容是應該的…問題在於要用什麼架構來管理。」

他說：「現行架構有兩套，一套用來管理報紙與媒體產業，一套模式用於電信業。電信業模式是讓資訊流通，但你不會因為某人在電話線上說了某些傷害性言論，就找電信公司算帳。我其實認為應該有一套介於兩者之間的管理辦法。」

臉書、推特（Twitter）、Google等社群媒體巨擘面對愈來愈大壓力，輿論要求這些平台拿出更好辦法，應對一些政府與政治團體藉平台來散布誤導的訊息或不實消息。

祖克柏說，目前他僱用了3萬5000人來檢視網上內容，並執行安全措施。

他表示，透過這些人力和臉書自動系統，公司每天停掉超過100萬個假帳號，其中絕大多數是在申請帳號的幾分鐘內就被偵測到。",文中提到那幾家社群媒體?,,,,,"臉書,推特（Twitter）,Google",1006-1,,,
